symbol,name,price,exchange,exchangeShortName,type
"IS3V.DE","iShares Global Inflation Linked Govt Bond UCITS ETF EUR Hedged (Acc)","4.447","Frankfurt Stock Exchange","XETRA","etf",
"GENM","Spinnaker ETF Series","10.16","New York Stock Exchange Arca","AMEX","etf",
"SWEB","AXS Short China Internet ETF","19.98","NASDAQ Global Market","NASDAQ","etf",
"VFH","Vanguard Financials Index Fund","100.23","New York Stock Exchange Arca","AMEX","etf",
"HZD.TO","BetaPro Silver -2x Daily Bear ETF","8.9","Toronto Stock Exchange","TSX","etf",
"IHYG.L","iShares € High Yield Corp Bond UCITS ETF EUR (Dist)","92.31","London Stock Exchange","LSE","etf",
"EMRG.PA","SPDR MSCI Emerging Markets UCITS ETF","57.729","Paris","EURONEXT","etf",
"C1U.PA","Amundi MSCI UK IMI SRI PAB","814.9","Paris","EURONEXT","etf",
"HIDD.L","HSBC MSCI Indonesia UCITS ETF","72.195","London Stock Exchange","LSE","etf",
"ICITF","iPath Optimized Currency Carry ETN","29","Other OTC","PNK","etf",
"FGM.TO","First Asset Fund Corp. - First Asset Global Momentum (CAD hedged) Class ETF","22.33","Toronto Stock Exchange","TSX","etf",
"OOSP","Spinnaker ETF Series - Obra Opportunistic Structured Products ETF","10.165","New York Stock Exchange Arca","AMEX","etf",
"IWDA.AS","iShares Core MSCI World UCITS ETF USD (Acc)","92.97","Amsterdam","EURONEXT","etf",
"FEMS.L","Fidelity Sustainable Research Enhanced Emerging Markets Equity UCITS ETF","3.62825","London Stock Exchange","LSE","etf",
"EUN6.DE","iShares € Govt Bond 0-1yr UCITS ETF","99.614","Frankfurt Stock Exchange","XETRA","etf",
"VYM","Vanguard High Dividend Yield Index Fund","118.92","New York Stock Exchange Arca","AMEX","etf",
"GAZ","iPath Series B Bloomberg Natural Gas Subindex Total ReturnSM ETN","9.74","New York Stock Exchange Arca","AMEX","etf",
"BTCY.TO","Purpose Bitcoin Yield ETF","6.92","Toronto Stock Exchange","TSX","etf",
"GCLX.L","Invesco Markets II plc - Invesco Global Clean Energy UCITS ETF","1484","London Stock Exchange","LSE","etf",
"ESGG","FlexShares STOXX Global ESG Select Index Fund","164.122","BATS","ETF","etf",
"EMCB","WisdomTree Emerging Markets Corporate Bond Fund","64.98","NASDAQ Global Market","NASDAQ","etf",
"5SIE.L","Leverage Shares -5x Short 7-10 Year Treasury Bond ETP Securities","1904.85","London Stock Exchange","LSE","etf",
"BBDD.L","JPMorgan ETFs Ireland ICAV - BetaBuilders US Equity UCITS ETF","3632.75","London Stock Exchange","LSE","etf",
"EMUU.L","iShares VII PLC - iShares MSCI EMU USD Hedged UCITS ETF (Acc)","10.56","London Stock Exchange","LSE","etf",
"FLOW","Global X U.S. Cash Flow Kings 100 ETF","29.9909","New York Stock Exchange Arca","AMEX","etf",
"XMTM.TO","iShares MSCI USA Momentum Factor Index ETF","31.89","Toronto Stock Exchange","TSX","etf",
"XHYI","BondBloxx US High Yield Industrial Sector ETF","37.57","New York Stock Exchange Arca","AMEX","etf",
"AZBJ","AllianzIM U.S. Large Cap Buffer20 Jan ETF","25.5905","New York Stock Exchange Arca","AMEX","etf",
"TFJL","Innovator 20+ Year Treasury Bond 5 Floor ETF – Quarterly","19.8185","BATS","ETF","etf",
"AVMA","American Century ETF Trust Avan","56.6599","New York Stock Exchange Arca","AMEX","etf",
"BIGY","Defiance Next Gen Big Data ETF","18.14","New York Stock Exchange Arca","AMEX","etf",
"AYE2.DE","iShares € High Yield Corp Bond ESG UCITS ETF","5.2358","XETRA","XETRA","etf",
"AUEM.PA","Amundi Index Solutions - Amundi MSCI Emerging Markets","5.2675","Paris","EURONEXT","etf",
"3LRI.L","GraniteShares 3x Long Rio Tinto Daily ETC","2776.5","London Stock Exchange","LSE","etf",
"IPKW","Invesco International BuyBack Achievers ETF","40.83","NASDAQ Global Market","NASDAQ","etf",
"GMRC.PA","Ossiam Global Multi-Asset Risk-Control ETF","252.95","Paris","EURONEXT","etf",
"SPAX","Robinson Alternative Yield Pre-Merger SPAC ETF","20.3401","New York Stock Exchange Arca","AMEX","etf",
"XDWS.DE","Xtrackers MSCI World Consumer Staples UCITS ETF","43.855","Frankfurt Stock Exchange","XETRA","etf",
"FSYD","Fidelity Sustainable High Yield ETF","46.575","New York Stock Exchange Arca","AMEX","etf",
"ETSY.L","UBS ETF - Factor MSCI EMU Total Shareholder Yield UCITS ETF (hedged to GBP) A-dis","1014.6","London Stock Exchange","LSE","etf",
"DGLDF","VelocityShares 3x Inverse Gold ETN Linked to the S&P GSCI Gold Index ER","9.5","Other OTC","PNK","etf",
"LRGG","Macquarie ETF Trust","25.76","New York Stock Exchange Arca","AMEX","etf",
