Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-01 00:00:00-04:00,353.5,438.0,335.5,427.0,4624157,0.0,0.0
2019-06-01 00:00:00-04:00,426.25,464.25,407.0,420.25,4829399,0.0,0.0
2019-07-01 00:00:00-04:00,424.25,460.0,400.0,400.25,1855102,0.0,0.0
2019-08-01 00:00:00-04:00,401.75,417.0,355.25,358.0,3078277,0.0,0.0
2019-10-01 00:00:00-04:00,386.75,402.5,378.25,390.0,3653164,0.0,0.0
2019-11-01 00:00:00-04:00,389.25,391.75,362.25,371.25,3794054,0.0,0.0
2020-01-01 00:00:00-05:00,387.75,394.0,375.25,381.25,3597354,0.0,0.0
2020-02-01 00:00:00-05:00,380.5,385.0,361.75,366.5,3507095,0.0,0.0
2020-04-01 00:00:00-04:00,341.25,343.25,300.25,311.5,2913618,0.0,0.0
2020-05-01 00:00:00-04:00,311.0,330.75,305.5,325.75,1474531,0.0,0.0
2020-06-01 00:00:00-04:00,325.5,342.0,313.5,338.5,4075205,0.0,0.0
2020-07-01 00:00:00-04:00,338.5,356.5,314.5,316.0,1558059,0.0,0.0
2020-08-01 00:00:00-04:00,315.0,353.0,307.25,348.5,2753842,0.0,0.0
2020-09-01 00:00:00-04:00,347.75,382.75,343.25,379.0,2278436,0.0,0.0
2020-10-01 00:00:00-04:00,379.0,422.25,377.25,398.5,4514196,0.0,0.0
2020-12-01 00:00:00-05:00,420.0,485.75,409.0,484.0,1761133,0.0,0.0
2021-01-01 00:00:00-05:00,487.25,553.75,479.5,547.0,4285317,0.0,0.0
2021-02-01 00:00:00-05:00,549.0,574.25,524.75,555.5,3555918,0.0,0.0
2021-03-01 00:00:00-05:00,560.5,571.25,532.75,564.25,1883413,0.0,0.0
2021-04-01 00:00:00-04:00,575.0,746.25,549.75,740.0,3680460,0.0,0.0
2021-05-01 00:00:00-04:00,740.0,775.0,602.75,656.75,1850037,0.0,0.0
2021-06-01 00:00:00-04:00,666.0,743.25,629.5,720.0,3529556,0.0,0.0
2021-07-01 00:00:00-04:00,719.75,750.5,536.75,547.0,980043,0.0,0.0
2021-09-01 00:00:00-04:00,534.0,548.5,487.75,536.75,1651092,0.0,0.0
2021-10-01 00:00:00-04:00,536.75,569.25,506.75,568.25,2882131,0.0,0.0
